Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
86,"July 14, 1996",14,7,1996,India,IND,29.95764881,78.17427266,Religious,21,40,2000000,"Devotees got killed as they were crossing an overcrowded bridge used on both directions to take a holy dip, resulting in 21 fatalities and 40 people injured. It is said that more than 2 million people had gathered for the event. ",19960714_2.txt
87,"July 31, 1996",31,7,1996,South Africa,ZAF,-26.00603657,28.2485598,Transportation,15,65,1000,Private security guards closed gates and attempted to control the crowd using electric cattle prods to prevent those without tickets to board a train after a campaign to crack down fare beaters was started.,19960731.txt
88,"October 16, 1996",16,10,1996,Guatemala,GTM,14.625764,-90.510489,Sport,84,147,45000,An accident occurred before the game started in an reportedly overfilled stadium (possibly due to counterfeit tickets) leading to the collapse of a fence separating different areas. 147 people were injured.,19961016.txt
89,"April 5, 1997",5,4,1997,Nigeria,NGA,6.497257113,3.364956447,Sport,5,12,40000,"Only two of the five gates were mistakanly opened at the end of a 40,000 packed soccer game. Crowds moved to the exits unaware that some of them were locked. It is believed stadium was over capacity.",19970405.txt
90,"June 28, 1997",28,6,1997,Germany,DEU,51.26024673,6.734150919,Entertainment,1,-1,60000,"In a concert attended by over 60,000 fans, a girl tragically died in the crowd. After discussions with security and police, the band chose to play softer songs to avoid further chaos.",19970628.txt
91,"August 5, 1997",5,8,1997,Peru,PER,-12.07862325,-77.08864827,Entertainment,2,107,100000,"At a concert over 100,000 fans gathered at a venue with a 40,000 capacity, resulting in a deadly accident. Two girls died from asphyxiation, and 107 others were injured. The overcrowding, poor event planning, and hysteria when the duo returned for an encore contributed to the disaster. Despite warnings from security, the performance continued.",19970805.txt
92,"April 9, 1998",9,4,1998,Saudi Arabia,SAU,21.413333,39.893333,Religious,118,-1,-1,Another incident among pilgrims attending the Stoning of the Devil ceremony killed 118 people and injured 180. Details are unclear.,19980409.txt
93,"April 18, 1998",18,4,1998,Zimbabwe,ZWE,-17.82132536,30.99494147,Entertainment,4,10,30000,A collective rush happened during celebrations for the independence day as thousands of spectators scrambled for seats for events which included a free soccer match between two popular teams.,19980418.txt
94,"August 22, 1998",22,8,1998,Philippines,PHL,14.59273363,120.9918904,Application,2,45,15000,"An accident at a presidential office. The crowd, estimated at 10,000 to 15,000 people, had gathered outside to seek help for issues like jobs and housing. Chaos ensued when a group of men broke the line, causing a surge toward the gates. In the melee, two women were trampled to death, and 45 others were injured, some seriously.",19980822.txt
95,"December 25, 1998",25,12,1998,Peru,PER,-12.04293571,-76.96037983,Entertainment,9,7,250,A tear gas bomb was exploded inside a nightclub facility and 9 people were killed as they tried to escape outside. The only door available was closed by security personnel believing a gang wanted to enter to steal or start a fight. Only 30 or 40 of the 250 people present managed to leave the nightclub.,19981225.txt
96,"January 14, 1999",14,1,1999,India,IND,9.435812812,77.08071966,Religious,53,-1,-1,"A landslide occurred at a temple during a religious pilgrimage, causing 200,000 male pilgrims to get scared and flee, which in turn caused a crowd incident. Some died in the landslide, but most were killed from the crowd itself. Most of the pilgrims were not familiar with the location as they came from far away.",19990114.txt
97,"May 30, 1999",30,5,1999,Belarus,BLR,53.905833,27.553889,Entertainment,53,100,2500,"A sudden thunderstorm during an outdoor concert caused many young attendees to attempt to take shelter in a nearby subway station. Some people slid and fell over on the wet sidewalk, causing a crowd incident. ",19990530.txt
98,"December 4, 1999",4,12,1999,Austria,AUT,47.248889,11.399167,Sport,6,38,40000,"As attendees left at the end of a snowboarding contest, many people slipped on the dark, steep slopes and fell into a barrier at the bottom of the hill. Dozens of people had been injured and were taken to the hospital, some in serious conditions.",19991204.txt
99,"March 24, 2000",24,3,2000,South Africa,ZAF,-29.91648609,30.88551396,Entertainment,13,44,600,"A tear gas canister was trow inside a nightclub in the afternoon when children were filling the facility. The emergency door was locked and the only way out was down a narrow staircase leading to the main entrance. Fatalities are said to have occurred on the staircase, where a wall also collapsed.",20000324_1.txt
100,"March 24, 2000",24,3,2000,Mozambique,MOZ,-24.53150435,32.9989498,Charity,5,10,-1,"An accident at a food distribution event resulted in the deaths of five people and left ten others injured. The incident occurred at a camp, which houses thousands of flood victims, when a large crowd rushed to receive aid. The chaos may have been triggered  a driver attempting to flee with a truck.",20000324_2.txt
101,"April 16, 2000",16,4,2000,Portugal,PRT,38.70416871,-9.176998074,Entertainment,7,65,1000,"Two canisters of gas were set off in a popular nightclub at the same time when lights went out, leading to a blind escape. The nightclub recently passed safety regulations inspections.",20000416.txt
102,"April 23, 2000",23,4,2000,Liberia,LBR,6.256935356,-10.7020419,Sport,3,-1,35000,A crowd surge occurred in an appearently overfilled stadium. One person died jumping from a fence to escape the dense crowd while others passed away for its consequences.,20000423.txt
103,"May 26, 2000",26,5,2000,Pakistan,PAK,31.59249012,74.30949064,Entertainment,8,3,-1,An accident occurred in a circus as guards used batons to break up an unruly crowd. It is believed people without ticket tried to force their entry in a break between shows when spectactors were leaving the circus. A special show was held that day close to where a religious congregation was also held.,20000526.txt
104,"June 5, 2000",5,6,2000,Ethiopia,ETH,9.03,38.74,Other/Unknown,14,7,-1,"An accident occurred in an amphitheatre during a memorial cerimony attended by thousands as children began running to cover from a rainstorm. More than 50 were injured, all victims were children.",20000605.txt
105,"June 30, 2000",30,6,2000,Denmark,DNK,55.621667,12.076667,Entertainment,9,26,50000,"Excited spectators surged towards the stage during a concert, resulting in 9 deaths and 26 injuries. ",20000630.txt
106,"July 9, 2000",9,7,2000,Zimbabwe,ZWE,-17.82141602,30.99503944,Sport,12,-1,60000,An accident occurred as police responded with tear gas to fans throwing plastic bottles in a near-capacity crowd causing many people to urge toward the exits. Fans leaving the stadium found more gas outside.,20000709.txt
107,"January 26, 2001",26,1,2001,Australia,AUS,-33.83755611,151.0667401,Entertainment,1,-1,-1,A teenage got killed in a mosh pit during a music festival. Barriers were not employed to split the crowd and were introduced in later editions following the incident.,20010126.txt
108,"March 2, 2001",2,3,2001,South Africa,ZAF,-26.19743045,28.0422214,Transportation,7,9,-1,"An accident occurred as commuters rushed down stairs toward a main-line passenger train. Dynamics is not clear although it is believed security locked the gates and an annoucement on the sudden closure was made only 10 minutes before departure, leading passengers to rush.",20010302.txt
109,"March 5, 2001",5,3,2001,Saudi Arabia,SAU,21.413333,39.893333,Religious,35,-1,30000,An incident occurred among pilgrims attending the Stoning of the Devil ceremony.,20010305.txt
110,"March 18, 2001",18,3,2001,Indonesia,IDN,-6.2,106.816667,Entertainment,4,4,2000,"Teenage girls got killed at the front of the stage during a performance of a boy band in a shopping mall. The band performed without a stage. The accident occurred as the band started signing autographs. A similar appearance was canceled after 20,000 stormed the venue.",20010318.txt
111,"April 1, 2001",1,4,2001,Pakistan,PAK,30.341111,73.3875,Religious,44,100,100000,"Thousands of men crammed into a narrow street leading to the main door of a shrine. A collective rush occurred as the opening of the shrine was delayed by more than 3 hours with about 100,000 people waiting. Becoming restless amid the delay some of them opted to seek entry through a secondary gate out-of-bound leading to a scramble in which 44 got killed and about hundred were injured.",20010401.txt
112,"April 8, 2001",8,4,2001,China,CHN,34.52731751,110.0823102,Shopping,16,6,4000,"An accident at a temple fair killed 16 people and injured 6 others. The tragedy occurred when a large crowd became trapped in a narrow passageway leading to the temple. Despite efforts by police and local officials to manage the crowd and assist the injured, the incident resulted in fatalities.",20010408.txt
113,"April 11, 2001",11,4,2001,South Africa,ZAF,-26.197519,28.060767,Sport,43,-1,120000,"A crowd of fans who were trying to find tickets for a soccer match surged into an already over-capacity stadium when the match began to heat up, destroying the perimeter fence in the process. The sudden flow of people caused a crowd incident near the entrance gate.  ",20010411.txt
114,"April 29, 2001",29,4,2001,DRC,COD,-11.70460124,27.48402601,Sport,14,-1,-1,Police fired tear gas to unruly fans who had invaded the pitch leading to an ensuing crowd accident. Fans were believed to had thrown objects at each other. The main exit was blocked leading to no way out.,20010429.txt
115,"May 6, 2001",6,5,2001,Iran,IRN,36.56012686,53.04824745,Sport,15,500,25000,A roof collapsed as spectactors reportedly sat on top of a temporary scaffolding in a crammed stadium said to have been well above capacity. Hundreds have been injured.,20010506.txt
116,"May 9, 2001",9,5,2001,Ghana,GHA,5.551531,-0.191767,Sport,126,-1,45000,Extreme behavior from some of the fans at a soccer match led to the police responding with tear gas. Many spectators tried to evacuate simultaneously. A crowd incident occurred because there were too few exits and the exits that did exist had been locked. ,20010509.txt
117,"July 21, 2001",21,7,2001,Japan,JPN,34.64390035,135.0174283,Entertainment,11,247,150000,"An incident occurred just before the end of a firework display, as a crowd of spectators trying to leave ran into a crowd of people going in the opposite direction on a pedestrian bridge between the railway station and the venue. 247 sustained injuries. The exit stairs of the pedestrian bridge acted as a bottleneck, as they were half the width of the bridge itself.",20010721.txt
118,"August 8, 2001",8,8,2001,Bangladesh,BGD,23.81641586,90.36586958,Other/Unknown,23,40,2000,A worker in a garment factory sounded the alarm after seeing flames shooting from an electric circuit board. Workers converged to the stairs to find the single exit locked and the security guard absent. ,20010808.txt
119,"October 21, 2001",21,10,2001,Venezuela,VEN,10.14194829,-67.99597368,Entertainment,11,60,30000,"An accident occurred at a festival when thousands of people tried to force their way into the venue, which was already over capacity. Police fired warning shots, triggering a surge that led to people being trampled. Witnesses offered conflicting accounts, some claiming a riot broke out, and others said the crowd was calm before the police intervention.",20011021.txt
120,"December 15, 2001",15,12,2001,Brazil,BRA,-10.90438683,-37.08158747,Charity,4,60,60000,"A crowd of about 60,000 people attended a gift distribution event. A wall collapsed and the resulting confusion killed 4 and left several injured. 10 militars were reportedly on-site to manage the large crowd, although 70 were planned to be on service.",20011215.txt
121,"December 21, 2001",21,12,2001,Bulgaria,BGR,42.7,23.33,Entertainment,7,-1,1500,A crowd incident occurred as attendees tried to enter the venue for a Christmas party because the stairs that led into the venue had become frozen and were slippery. Six people between the ages of 11 and 15 died. ,20011221.txt
122,"January 24, 2002",24,1,2002,Nigeria,NGA,7.147595564,3.361916612,Religious,3,-1,-1,"During an evangelist crusade, three elderly men in their late 60s were feared dead in a crowd accident. The victims were reportedly trampled by the large crowd attending the miracle event on the second day of the crusade.",20020124.txt
123,"January 27, 2002",27,1,2002,Nigeria,NGA,6.573505329,3.36215172,Other/Unknown,1000,5000,4000,"A series of explosions at a military depot triggered widespread panic, leading to the indirect deaths of hundreds people in crowd accidents. The massive blast killed around 300 people and sent debris across the city, igniting fires and causing chaos. Thousands of people fled toward a banana plantation, resulting in at least 600 drownings.",20020127.txt
124,"March 9, 2002",9,3,2002,Nigeria,NGA,6.436235493,7.488267452,Religious,14,-1,-1,"Gunmen attacked a weekly prayer meeting causing a collective flee that killed at least 12 people. The gunmen appeared to be targeting a priest, who was leading the meeting, but left without injuring anyone. The incident occurred as the open-air service was ending, and conflicting reports suggest the death toll may be higher.",20020309.txt
125,"September 23, 2002",23,9,2002,China,CHN,40.437,113.11,Educational,21,47,1500,"Students in a middle school attempted to leave evening classes in complete darkness. Not being able to see, students could not understand the situation and kept pushing. Eventually a guardrail collapsed killing 21 and injuring 47. It is said two teacher were on duty to manage 1563 students and the school was designed for 800.",20020923.txt
126,"September 28, 2002",28,9,2002,India,IND,26.83268734,80.92671986,Transportation,18,25,-1,"During a commotion people tried to protect others from becoming involved. As a result of this event the crowd was pushed down the stairs toward the two platforms, increasing crowd density at the end. In the chaos some climbed on an arriving train and got electified by the overhead high tension wire. A lot of people were arriving for a political rally.",20020928.txt
127,"November 30, 2002",30,11,2002,Bangladesh,BGD,25.32958728,89.54261812,Charity,47,200,10000,"A crowd accident killed at least 30 women and children and injured hundreds as people for free clothes being distributed by a local businessman. The stampede occurred outside an abandoned jute mill as the crowd surged forward when the gates were opened. The distribution attracted over 10,000 people, mostly poor women and children.",20021130.txt
128,"January 5, 2003",5,1,2003,China,CHN,34.35358789,107.4065082,Educational,3,19,3500,"A power loss occurred in a middle school in the afternoon. As power could not be restored it was decided to cancel evening classes and let the students go home. Students in the classroom upstairs rushed down the stairways as students in the playground rushed upstairs to get their bags, eventually clashing on the stairs. 19 were injured.",20030105.txt
129,"February 11, 2003",11,2,2003,Saudi Arabia,SAU,21.413333,39.893333,Religious,14,-1,-1,An incident occurred among pilgrims attending the Stoning of the Devil ceremony.,20030211.txt
130,"February 17, 2003",17,2,2003,USA,USA,41.849542,-87.623514,Entertainment,21,50,1500,"Security guards trying to break up a fight at a club used pepper spray, causing chaos among the 1,500 attendees as many believed that they were being attacked by terrorists and tried to flee towards the exit. The exit was at the bottom of a steep flight of stairs and the door to the street was narrow, and opened inwards. 21 people died from suffocation. ",20030217.txt
131,"May 3, 2003",3,5,2003,Benin,BEN,6.385962935,2.379426849,Entertainment,15,12,-1,An accident occurred as stadium gates were opened for a concert by a popular artist. Gates opening was delayed by a previous event held in the same venue.,20030503.txt
132,"August 27, 2003",27,8,2003,India,IND,20.007921,73.79129556,Religious,39,150,300000,"The throwing of silver coins to a crowds of pilgrim leading to a religious event was believed to have caused a collective rush which killed 39 and injured about 150. A different source said the collective motion was caused as pilgrims rushed for the holy dip after sadhus (holy men), already late in their bathing, had finished.",20030827.txt
133,"December 11, 2003",11,12,2003,China,CHN,36.45390159,114.5537765,Educational,5,15,-1,"An accident occurred on stairs after students were leaving a middle school in the darkness due to a power loss. 15 children were injured, 4 of them seriously.",20031211.txt
134,"February 1, 2004",1,2,2004,Saudi Arabia,SAU,21.413333,39.893333,Religious,251,244,-1,An incident occurred among pilgrims attending the Stoning of the Devil ceremony. Over 200 people were injured.,20040201.txt
135,"February 5, 2004",5,2,2004,China,CHN,40.37220336,116.8372427,Entertainment,37,15,5000,"A large number of people moving against the flow of the crowd caused an incident on a bridge between two venues that were separated by a river at a New Year lantern festival. 37 people died, many of them women and children. There were reports that the bridge was crowded with people watching fireworks at the time of the incident. ",20040205.txt
136,"February 23,2004",23,2,2004,Indonesia,IDN,-3.317095326,114.5801001,Entertainment,4,60,4000,"An accident at a rock concert killed four people and injured dozens more. The incident occurred as thousands of fans, mostly young, rushed to exit the soccer stadium after the performance.",20040223.txt
137,"March 12, 2004",12,3,2004,Syria,SYR,37.047778,41.220556,Sport,5,100,-1,An accident occurred as spectators escaped from rioting fans. More than 100 people were injured.,20040312.txt
138,"April 12, 2004",12,4,2004,India,IND,26.88087622,80.94235492,Political,21,-1,10000,"About 10,000 women with babies and small children attended a rally held in a park. The accident occurred as the end of the event was broadcasted and it was announted people could collect gifts at the reception counter. This led to a large number of women hurrying toward the reception counter near the exit. 21 women and children died.   ",20040412.txt
139,"May 3, 2004",3,5,2004,Bangladesh,BGD,23.81783601,90.36560979,Other/Unknown,6,30,4000,The explosion of an electric transformer nearby initiated an evacuation in a six-story garment factory. Workers rushed on the stairwells killing 6 and injuring at least 30.,20040503.txt
140,"August 29, 2004",29,8,2004,Brazil,BRA,-23.46176374,-46.49058107,Entertainment,6,117,-1,"An overcrowded balcony collapsed in a nightclub, killing six people and injuring at least 117. The collapse occurred when the balcony, holding more people than its structure could support, gave way, crushing those below.",20040829.txt
141,"September 1, 2004",1,9,2004,Saudi Arabia,SAU,21.55949604,39.15277432,Shopping,3,16,8000,"A furniture store held an event at which the first 50 people to attend would each receive a gift certificate worth 500 Rial, and the next 200 attendees would each receive 100 Rial vouchers. More than 8,000 people gathered outside the store before it opened. Despite being scheduled to open at 10am, the store opened at 9am, and the crowd broke through the safety barriers.",20040901.txt
