Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
248,"October 4, 2013",4,10,2013,India,IND,16.59734232,74.31837084,Religious,1,17,4000,"An accident occurred at a temple resulting in the death of a 60-year-old man and injuries to 17 others. The incident happened when a large crowd, which had been waiting for hours to enter the temple, became impatient after the gates were closed. When one of the gates was opened to allow an ambulance to leave, people rushed in, causing the rush.",20131004.txt
249,"October 13, 2013",13,10,2013,India,IND,26.092778,78.641944,Religious,115,110,500000,"Many pilgrims were killed on a 7-m wide and 400-m long bridge when a 25,000 estimated crowd was over it. Rumors saying the bridge was about to collapse resulted in a collective rush as some people drawned after jumping from the bridge. Sources are however conflicting on what caused the collective rush.",20131013.txt
250,"October 16, 2013",16,10,2013,Nigeria,NGA,8.482709401,4.514082848,Charity,20,60,-1,An accident occurred when a political leader was giving out gifts and money to his supporters. Similar accidents already occurred in the same place under similar cirumnstances.,20131016.txt
251,"November 2, 2013",2,11,2013,Nigeria,NGA,6.112708255,6.91887733,Religious,28,200,100000,"An accident occurred during a vigil in a church. It is believed more than 50,000 people (some suggesting 100,000) gathered for the event while the church could accommodate only 5,000. It is unclear what caused the accident, some relating it to a commotion, others to people shouting ""fire"".",20131102.txt
252,"January 5, 2014",5,1,2014,China,CHN,36.01068894,106.2571018,Charity,14,10,-1,An accident occurred outside a mosque as a crowd rushed to take offerings of a traditional food. Possibly organizers were not sufficiently prepared for the high number which showed up as the event was held on a Sunday.,20140105.txt
253,"January 15, 2014",15,1,2014,India,IND,24.8869236,86.92221684,Entertainment,3,12,500,An accident occurred in a fair as people were watching a dance in a theater. The accident was possibly caused by a clash between two groups or rumours of fire. Lighting was reportedly insufficient at the venue.,20140115.txt
254,"January 18, 2014",18,1,2014,India,IND,18.9525538,72.79714045,Religious,18,56,30000,Supporters assembled in front of the residence of a spiritual leader to mourn his death. An accident occurred as gates were opened and people burst in. 18 people died and 56 were injured.,20140118.txt
255,"March 15, 2014",15,3,2014,Nigeria,NGA,9.038145433,7.453402916,Application,10,50,100000,"As part of a recruitment program 100,000 applicants tried to enter a stadium with a capacity of 60,000 where tests were scheduled. Gates remained closed by security men and an accident occurred as anxious job-seekers tried to jump fences to enter the venue. The resulting chaotic situation killed 10 and injured more than 40. Nationwide 6.5 million people had paid an application fee to apply for 4,000 positions.",20140315_1.txt
256,"March 15, 2014",15,3,2014,Nigeria,NGA,6.332053889,5.610964272,Application,4,50,28000,"An estimated 28,000 job-seekers tried to enter the stadium with a capacity of no more than 15,000. They had all already paid an application fee to take part to the tests scheduled on the venue. The crowd started to run for safety after soldiers started shooting in the air in an attempt to contol the crowd. 3 of the victims were pregnant women, more than 20 were injured.",20140315_2.txt
257,"March 15, 2014",15,3,2014,Nigeria,NGA,9.628849208,6.544556972,Application,3,4,11000,"A school was used to perform tests for a nationwide job application. The venue was successfully filled with 11,000 candidates by 7am. However, a two kilometers long line formed in front of the venue. Fearing the situation would escalate personnel resorted to tear gas, causing 7 people to collapse and trampling 3 to death. Space around the venue was limited due to the large number of vehicles parked there by applicants.",20140315_3.txt
258,"March 15, 2014",15,3,2014,Nigeria,NGA,4.825143071,7.021927325,Application,5,8,40000,"About 25,000 applicants were invited for a job interview in a stadium accomodating 16,000. Several job-seekers arrived early in the morning but were not allowed into the main bowl and some gates were locked. As one gate was opened people stormed in leading people at the front to collapse. Some also report that rifles were fired in the air in an attempt to control the crowd.",20140315_4.txt
259,"April 25, 2014",25,4,2014,DRC,COD,-5.043722533,18.8149796,Entertainment,23,-1,4000,"Power generators were cut out during a tribute concert to a recently deceased singer, plunging the stadium into darkness. An accident occurred as people tried to leave the venue, killing more than 20.",20140425.txt
260,"May 11, 2014",11,5,2014,DRC,COD,-4.337874113,15.32262901,Sport,15,24,30000,"During an important soccer match fans began throwing stones to the pitch to which police responded with teargas, eventually leading to the crowd fleeing toward one exit where the accident occurred. Another 10 people were injured. It is believed the stadium was packed beyond capacity.",20140511.txt
261,"July 30, 2014",30,7,2014,Guinea,GIN,9.573250403,-13.60745911,Entertainment,34,60,10000,"Hundreds of people leaving a concert on a beach troubled while rushing through the single exit. The accident happened at the end of the show, which was attended by up to 10,000 people. Dozens were injured.",20140730.txt
262,"August 25, 2014",25,8,2014,India,IND,25.17121132,80.85310306,Religious,10,60,50000,"Thousands (reportedly 50,0000) of devotees gathered to celebrate a religious event. During the procession a live electric wire shocked a woman and set off chaos, triggering an accident in which people broke through rope barriers. 10 pilgrims were killed and another 12 were injured.",20140825.txt
263,"September 2, 2014",2,9,2014,Egypt,EGY,30.59990969,32.27542212,Other/Unknown,9,5,-1,"Nine people were killed in an accident outside a military academy when relatives tried to visit cadets, violating visitor regulations. Five others were injured and hospitalized.",20140902.txt
264,"September 26, 2014",26,9,2014,China,CHN,25.10121076,102.7573812,Educational,6,26,-1,"Six pupils were killed and 26 others injured in a crowd accident at a primary school. The accident occurred when a cotton cushion in the dormitory building blocked the staircase, causing students to trip and triggering a rush of others down the narrow stairs. The local government has ordered a city-wide safety inspection of all schools.",20140926.txt
265,"October 3, 2014",3,10,2014,India,IND,25.6079701,85.16757324,Religious,32,50,30000,"Tens of thousands of people gathered to watch a religious event on a lawn ground surrounded by buildings. An accident occurred as people were rushing to leave after the event, some blaming a rumor of a live high tension wire falling on the ground. Around 15 people were injured.",20141003.txt
266,"October 10, 2014",10,10,2014,Pakistan,PAK,30.19778959,71.47400607,Political,8,115,-1,"An accident occurred at a political rally as people rushed together towards the main gate as a speech ended. Circumnstances remain unclear, with some blaming that only two of the five gates were opened and other reporting lights were switced off. Over 100 people were injured.",20141010.txt
267,"November 21, 2014",21,11,2014,Zimbabwe,ZWE,-18.90325891,29.83827549,Religious,11,40,30000,"An estimated crowd of 30,000 leaving a stadium from a single exit after a religious service caused an accident killing 11 and injuring 40. Since only one exit was open, some tried to break off parts of the wall to leave, prompting the police to fire teargas thus causing a rush in the crowd.",20141121.txt
268,"December 31, 2014",31,12,2014,China,CHN,31.23827389,121.48613,Entertainment,36,49,300000,"A crowd of 300,000 gathered to assist to New Year celebrations. An accident occurred on a stairway leading to a viewing platform as people were moving on both directions. Reasons for the rush on both directions are unclear, some blaming rumors of a show cancellation, other reporting cash coupons were trown on the crowd.",20141231.txt
269,"February 8, 2015",8,2,2015,Egypt,EGY,30.0199574,31.37373083,Sport,28,20,10000,"Police used tear gas to attempt dispersing crowds of about 6,000 ticketless fans who were making their way into the stadium for a soccer game. After three years of restrictions on games' attencance, 5,000 tickets were up for public sale, with another 5,000 distributed through the club. Fans were known for their history of battling the police.",20150208.txt
270,"February 17, 2015",17,2,2015,Haiti,HTI,18.54256352,-72.33624279,Entertainment,18,78,4000,An accident occurred during the carnival parade as a man onboard of a float hit an overhead power line creating a spark which triggered a sudden rush within the surrounding crowd. The man survived the shock but 18 from the bystanders were killed and another 78 injured.,20150217.txt
271,"March 27, 2015",27,3,2015,Bangladesh,BGD,23.65328002,90.5660059,Religious,10,50,200000,"An accident occurred on the riverbanks as pilgrims were moving through narrow passages to take holy dips. The annual festival usually attracts one million people, but on this edition the number was much higher since it came on a public holiday. Some reports that rumors emerged about a collapsing bridge, although main cause is not clear. ",20150327.txt
272,"April 16, 2015",16,4,2015,Chile,CHL,-33.42997543,-70.64426299,Entertainment,5,12,-1,"Metal fences collapsed killing several fans during a concert in an underground club. It is believed a group of people tried to enter the venue by force despite the premises were already at full capacity, although others blame the use of force by guards with whom a clash took place.",20150416.txt
273,"July 9, 2015",9,7,2015,Bangladesh,BGD,24.753889,90.403056,Charity,23,50,2000,"An accident occurred after a large crowd gathered for clothes that were being donated. More than 1,500 people had assembled outside the clothing factory and a collective rush occurred as people tried to force their way through a small gate. More than 50 people were injured.",20150709.txt
274,"July 14, 2015",14,7,2015,India,IND,17.00731777,81.76698221,Religious,27,40,100000,"An accident occurred at the riverbank where devotees were taking a holy dip. The accident occurred at a narrow entrance to the banks as people leaving the river clashed with people trying to bath in a particularly auspicios time. The festival is held once every 144 years and 40 milion pilgrims were expected over 12 days. 15,000 policemen and 171 cameras were used to monitor the situation.",20150714.txt
275,"August 10, 2015",10,8,2015,India,IND,24.49258697,86.6999447,Religious,11,50,150000,"An accident occurred around 5am as some of the 150,000 pilgrims who gatheted for the religious festival surged towards the entrance of a temple after doors were opened. People sleeping in the kilometers-long queue were overran as others pushed toward the entrance. Around 50 were injured.",20150810.txt
276,"September 24, 2015",24,9,2015,Saudi Arabia,SAU,21.416528,39.884694,Religious,2431,934,-1,An accident occurred at a T-intersection between two streets leading to a bridge during the annual Hajj pilgrimage. Exact dynamics of the incident is unclear and also the number of victims is disputed. That year temperatures were extremely high and political tensions existed between countries from which most of pilgrims arrived.,20150924.txt
277,"October 14, 2015",14,10,2015,Poland,POL,53.14340233,18.1307544,Entertainment,3,12,1500,"An accident occurred during a party organized in a university. Due to a lack of control at the entrance, organizers were not able to keep the number of attendee under control, reaching a total of 1,500. The tragedy occurred at the connection between two buildings as people tried to move in opposite direction under high crowd density.",20151014.txt
278,"October 21, 2015",21,10,2015,Cameroon,CMR,4.056069474,9.718803664,Religious,1,20,60000,"An accident occurred during a religious event held in a stadium at 1am. A report claims that when people were leaving the venue from the single exit others started to get in, while another version claims the accident was caused by a robbery attempt.",20151021.txt
279,"October 25, 2015",25,10,2015,Afghanistan,AFG,36.73607679,69.53364514,Educational,12,30,-1,Students of a high school got killed as they rushed to escape the school building after chaos broke out following a strong earthquake. More than 30 were injured. The school was not damaged by the quake.,20151025.txt
280,"February 2, 2016",2,2,2016,India,IND,12.23168305,79.06718915,Religious,4,-1,7000,Four people drowned following a collective rush in a temple pond. Causes remains unclear but officials sources admitted they failed to estimate the actual number of pilgrims and were not able to keep the crowd under control as rituals started in the early morning. The accident came as the deity was taken toward the pond.,20160202.txt
281,"July 6, 2016",6,7,2016,Ghana,GHA,6.687005413,-1.566938071,Other/Unknown,9,1,300,"A crowd accident occurred at a Ramadan celebration resulting in the deaths of nine people and left several others injured. The incident occurred at a community center, with conflicting reports about its cause—some witnesses claim a power outage triggered the collective motion, while others say the doors were locked, preventing people from exiting.",20160706.txt
282,"October 2, 2016",2,10,2016,Ethiopia,ETH,8.757721591,38.98697924,Religious,300,300,2000000,An accident occurred after police used tear gas during a protest at a religious festival. Rubber bullets and baton charge were also used. It is believed some threw stones to the police. An estimated two million people gathered for the event in a period during which several protests started in the country.,20161002.txt
283,"October 9, 2016",9,10,2016,India,IND,26.80710071,80.91929855,Political,3,28,100000,"An accident occurred on stairs as people were moving out during a political rally through the only gate (although some reports suggest two were employed). It is reported that the accident occurred under intense heat. According to some sources 100,000 people attended the rally. ",20161009.txt
284,"October 15, 2016",15,10,2016,India,IND,25.32255211,83.03457345,Religious,24,-1,50000,"An accident occurred as people heading to a religious event tried to cross a bridge at once. 4,000 people were expected but 50,000 showed up. The surging crowds killed one man and rumors that the bridge could collapse fueled more chaos.",20161015.txt
285,"October 16, 2016",16,10,2016,Angola,AGO,-12.57657273,13.40882122,Entertainment,20,40,15000,"An accident occurred as people were leaving a stadium where a music festival was being held. It is reported 15,000 tickets were sold for a venue with a capacity of 8,000. Some reports claim doors had been locked and police was looking for criminals inside the venue. Another 40 were injured.",20161016.txt
286,"December 10, 2016",10,12,2016,Nigeria,NGA,6.546721466,3.272952919,Religious,3,-1,-1,A crowd of worshippers struggled to pass through the doorway of a synagogue to attend the healing service of a famous prophet. In the process three people collapsed and died. The accident occurred at 4:30am when thousands of people already filled the venue.,20161210.txt
287,"January 15, 2017",15,1,2017,India,IND,21.86658173,88.13967784,Religious,6,35,1600000,A collective rush broke out while people were waiting to board a boat from an island where a religious event was being held. Other sources attributed the fatalities to hearth attack. A large crowd was waiting for a boat as many urged to come back as they would have had to wait 8 hours for the high tide to dip again. At least 1.5 million people took their holy dip over two days.,20170115.txt
288,"January 23, 2017",23,1,2017,India,IND,22.31089673,73.18092926,Entertainment,1,60,4000,"An accident at a railway station during a promotion event led to the death of one person. The chaotic scene occurred when thousands of fans rushed to the train after a popular actor waved at them, prompting a lathicharge by police to control the crowd. Several others were injured, and two police officers also fell unconscious due to the suffocation.",20170123.txt
289,"February 10, 2017",10,2,2017,Angola,AGO,-7.614432,15.059897,Sport,17,61,8000,An accident occurred as hundreds of supporters stormed the stadium gates. The crowd pushed against barriers after failing to gain entry to the venue before the match. It is believed the stadium would have not be sufficient to accomodate the crowd. At least 60 were injured.,20170210.txt
290,"March 6, 2017",6,3,2017,Zambia,ZMB,-15.369507,28.272641,Charity,10,28,35000,"Competition over food aid resulted in an accident as thousands of poor people struggled to claim food handouts. It is reported 35,000 people jostled to enter the stadium where the distributuon was organized. 28 others were injured.",20170306.txt
291,"March 11, 2017",11,3,2017,Argentina,ARG,-36.90972934,-60.33767079,Entertainment,2,25,550000,"Two people were were killed when spectators rushed to the stage during a open air concert. The show was attented by 350,000 people, although the event was planned to handle half of that number. Dozens were injured.",20170311.txt
292,"March 22, 2017",22,3,2017,China,CHN,35.71347905,115.0138231,Educational,2,22,-1,An accident occurred in a primary school when students gathered in the bathroom in a short period of time. The incident happened during a 10 minutes break while preparing for monthly examinations. Some reports suggest the wall of the bathroom collapsed. More than 20 were injured.,20170322.txt
293,"April 5, 2017",5,4,2017,India,IND,26.8113722,82.20599947,Religious,1,12,200000,"A crowd accident resulted in the death of a woman and injuries to at least two others, when thousands of devotees gathered in a spiritual place to perform rituals. Around 20 lakh people attended the event, and when barricades were removed, the crowd surged, causing the tragic incident.",20170405.txt
294,"May 28, 2017",28,5,2017,Honduras,HND,14.09858355,-87.20391861,Sport,4,25,35000,"Hundreds of fans (allegedly in possess of a ticket) tried to break past stadium's barricates during an important match. Some reports claim the stadium was oversold, possibly due to fake tickets being sold. Police fired tear gas and used water cannons in an attempt to control the crowd. Another 25 were injured.",20170528.txt
295,"June 3, 2017",3,6,2017,Italy,ITA,45.06773,7.68259,Sport,3,1672,30000,"An accident occurred during a public viewing in a square attended by thousands as some people shot pepper spray in an attempt to steal valuables. This caused a rush in the crow, which eventually led to the collapse of a railing leading to an underground garage. More than 1,600 people were injured, many because of the broken bottles on the ground.",20170603.txt
296,"June 18, 2017",18,6,2017,Nigeria,NGA,12.98570391,7.617160622,Charity,5,14,-1,A tragic incident occurred in which five people were killed and about 14 others injured during a scramble for charity at the residence of philanthropist. Details remain unclear.,20170618.txt
297,"July 6, 2017",6,7,2017,Malawi,MWI,-13.94371002,33.75314783,Sport,8,40,4000,"An accident occurred at a free soccer game in a stadium. Gates' opening time was delayed by about three hours and when the gates finally opened the accumulated crowd rushed in the stadium, killing 8 and injuring around 40, mostly children. Some report the gates were force opened and police fired tear gas.",20170706.txt
298,"July 15, 2017",15,7,2017,Senegal,SEN,14.71097119,-17.45819985,Sport,8,60,-1,"Around the end of an important match, a wall collapsed under crowd pressure after fans tried to escape from violent supporters throwing projectiles between them. Police fired tear gas at clashing supporters in an attempt to disperse them causing what could have exacerbated the situation. More than 40 were injured.",20170715.txt
299,"July 29, 2017",29,7,2017,South Africa,ZAF,-26.23481738,27.982626,Sport,2,17,-1,"An accident occurred as fans attempted to pour through a gate for a well anticipated derby. The situation went under control when all gates were opened. It is believed the sales of fake ticket at entry gates contributed to the accident. The stadium had a capacity for 87,000 spectators and was sold out.",20170729.txt
300,"September 15, 2017",15,9,2017,Bangladesh,BGD,21.18246049,92.15835541,Charity,3,-1,-1,An accident occurred in a refugee camp hosting tens of thousands as clothings were thrown from relief trucks. It is reported the distribution was not authorized by the agencies managing the refugee camp and similar accidents already happened as private distributions were improvised on the camp.,20170915.txt
301,"September 29, 2017",29,9,2017,India,IND,19.007533,72.835976,Transportation,27,50,-1,An accident occurred on the stairs of a tiny overbridge connecting platforms of a train station as four trains arrived simultaneously during rush hour. At the time it was raining and possibly someone slipped on the already packed stairs which were used also as shelter from the heavy rain. Another 30 were injured.,20170929.txt
302,"November 4, 2017",4,11,2017,India,IND,25.37851093,86.00368363,Religious,3,10,4000,An accident occurred at a narrow lane which was used by pilgrims to reach and leave a river where they were taking a holy dip during a religious event. All victims were elderly women. The event was attended by thousands of devotees. Another 10 were injured.,20171104.txt
303,"November 19, 2017",19,11,2017,Morocco,MAR,31.67750027,-9.272371431,Charity,15,40,800,"An accident occurred during annual food aid distribution at a local market. It is reported a crowd of 800 (larger than usual) was attracted in the town with 8,000 inhabitants. Another 40 were injured. Details on the accident remains unclear, although some report that barriers collapsed.",20171119.txt
304,"December 18, 2017",18,12,2017,Bangladesh,BGD,22.3488732,91.831447,Religious,10,50,10000,"An accident occurred at the end of the funeral service of a political leader when ritual food was arranged in a venue. The accident occurred as gates of the community center were opened and people rushed despite the announcements that enough food was available to everyone. It is reported around 8,000 people took part to the event.",20171218.txt
305,"January 10, 2018",10,1,2018,India,IND,24.88802417,84.16847778,Application,1,4,4000,"An accident occurred during an army recruitment drive after the gate of the ground was opened at 3am. Applicants were asked to wait in line but when the gate opened people began jostling to enter the venue. An estimated 4,000 aspirants had been waiting in cold weather. Another 4 were injured.",20180110.txt
306,"April 22, 2018",22,4,2018,Burkina Faso,BFA,12.36869457,-1.527572055,Religious,6,-1,-1,"An accident in a stadium following a religious ceremony resulted in six deaths, including five women. The incident occurred when the crowd, exiting the event, rushed toward a small entrance instead of using two larger ones.",20180422.txt
307,"May 12, 2018",12,5,2018,Sierra Leone,SLE,8.479556,-13.249056,Political,1,90,50000,"An accident occurred at a presidential inauguration held in a stadium. Thousands of people had been waiting in queue from the morning, but president's supporters tried to force their way through a gate for cars of invited guests. This sparked police response which resulted in the accident. 90 were injured.",20180512.txt
308,"May 14, 2018",14,5,2018,Bangladesh,BGD,22.11329463,92.03153695,Charity,10,50,30000,"Over 20,000 people had assembled for gift distribution (foor and money) in front of a mosque. When the gate was opened at 9am some fell and got overrun. Many have been waiting the whole night. It is reported the ground could hold 3,500 people at most and security was very limited. Another 50 were injured.",20180514.txt
309,"June 16, 2018",16,6,2018,Venezuela,VEN,10.4907,-66.9337,Entertainment,21,9,500,"Following a fight during a student's party attended by 500, some individuals threw a tear gas canister. Partecipants attempted to evacuate the venue, but the only narrow exit was located at the bottom of a staircase and was closed, leading to an increase in crowd pressure killing 19. Reasons for the door being close remain unclear.",20180616.txt
310,"August 8, 2018",8,8,2018,India,IND,13.06952575,80.27496711,Religious,5,35,200000,"A crowd surge at a hall entrance occurred as public was allowed to pay homage to the remains of a deceased political leader. Police were letting in people in batches but a rush occurred and they were not able to control the crowd, resorting to force to push back the crowd. More than 20 were injured.",20180808.txt
311,"September 9, 2018",9,9,2018,Madagascar,MDG,-18.90023846,47.51927193,Sport,1,40,4000,Supporters started to form kilometers-long queues from the early morning for an important match scheduled at 2:30pm. The accident occurred as some supporters wanted to get in despite the gate being closed because the stadium was full. At least 37 people were injured.,20180909.txt
312,"September 16, 2018",16,9,2018,Angola,AGO,-8.969847493,13.28353071,Sport,5,7,-1,"Soccer fans were killed as they flooded out a stadium after a game. The accident happened as supporters found the gates shut after the match. When the police finally opened the gates, people rushed out with some falling down and ultimately killing 5 and injuring another 7.",20180916.txt
313,"October 23, 2018",23,10,2018,India,IND,22.58369192,88.28319395,Transportation,2,17,-1,"An accident at a railway station resulted in the deaths of two people and left 14 others injured, including two children and two women. The incident occurred when passengers rushed to board two trains arriving simultaneously, causing overcrowding on the foot overbridge.",20181023.txt
314,"November 15, 2018",15,11,2018,India,IND,25.42249337,86.12410998,Entertainment,1,-1,-1,"An accident occurred during a performance at a festival. Despite announcements to control the crowd, attendees became frantic and rushed toward the stage, breaking barricades and throwing chairs. The situation escalated into a crush, resulting in the death of one person and several others being injured. Police had to intervene to restore order.",20181115.txt
315,"December 8, 2018",8,12,2018,Italy,ITA,43.66253052,13.0289928,Entertainment,6,200,1400,"Some individuals sprayed an ""irritant substance"" inside a nightclub prompting the occupants to flee the venue. However, only one emergency exit was open and a metal railing on the way out collapsed, causing people to fall off the walkway. About 1,400 were in venue with a capacity of about 470 (it is believed some few hundreds sneaked into the venue). 200 people were injured.",20181208.txt
316,"December 28, 2018",28,12,2018,South Africa,ZAF,-25.75195199,28.16754232,Religious,3,17,-1,"People from a religious community assembled at the show ground of a church to attend a service by a famous preacher. When heavy downpour started, people push each other in a scramble to find shelter. The accident left 3 dead and another 9 injured.",20181228.txt
317,"January 28, 2019",28,1,2019,Malaysia,MYS,3.138305983,101.7141747,Charity,2,-1,1000,"More than 1,000 people showed up at an indoor market for free food coupons given out to elderly people, but participants were not aware that only 200 were available. Two people (78 and 85 years old) passed away as they were waiting in the pushy crowd. Only 4 people at a time were allowed to get into the office and register for the coupons.",20190128.txt
318,"February 12, 2019",12,2,2019,Nigeria,NGA,4.967619207,6.971328979,Political,15,12,4000,An accident occurred during an afternoon rally as thousands of supporters tried to follow the president's convoy out of the stadium through a partially locked gate. People were seen rushing and pushing to each other to leave the stadium. Around 15 people died and dozens were injured (sources vary on the exact number).,20190212.txt
319,"March 17, 2019",17,3,2019,United Kingdom,GBR,54.63519378,-6.755443931,Entertainment,3,3,600,"An accident took place in a nightclub when the gate was opened to get a crowd of more than 600 in the venue accomodating a maximum of 500. Shortly afterwards a forward rush occurred and the whole queue collapsed, killing 3 people and injuring 4. It is said 100 people collapsed to the ground after the surge occurred.",20190317.txt
320,"April 21, 2019",21,4,2019,India,IND,11.11172911,78.62352173,Religious,7,12,500,"An accident during a temple ceremony killed seven devotees, including four women, and injured ten others. The incident occurred when a large crowd surged forward to collect temple coins distributed by the priest. The event, which draws many devotees seeking prosperity, lacked proper crowd control and security measures, contributing to the tragedy.",20190421.txt
321,"June 26, 2019",26,6,2019,Madagascar,MDG,-18.90023846,47.51927193,Entertainment,16,101,4000,"An accident occurred at a stadium during the independence day. After the military parade finished, gates were open to let people in for a free concert by a famous singer. However, gates were suddenly shut afterwards. Believing entry was possible the crowds kept moving toward the closed gates, killing 16 and injuring about 80. ",20190626.txt
322,"July 18, 2019",18,7,2019,India,IND,12.84063573,79.70316629,Religious,4,-1,170000,"An accident occurred at a festival taking place every 40 years, where around 1.7 lakh devotees had gathered to pay respects to the deity. Four people were killed. Some officials criticized the inadequate crowd management, while others attributed the incident to the unexpectedly high turnout.",20190718.txt
323,"August 12, 2019",12,8,2019,India,IND,25.19331529,86.0734418,Religious,1,8,-1,"An accident in a temple led to one death and eight injuries. The chaos occurred as crowds of devotees attempted to enter the temple, breaking through police barricades. The deceased, whose body showed no signs of injury, likely died from cardiac arrest. The situation was quickly brought under control, and the injured were taken to the hospital.",20190812.txt
324,"August 22, 2019",22,8,2019,Algeria,DZA,36.74563054,3.078544556,Entertainment,5,80,4000,"An estimated 30,000 people gathered at a stadium for the concert of a famous singer. The accident occurred as fans thronged through the entrance. The concert was scheduled for 7pm, but people started gathering from mid-afternoon. It is said there were only four entrances allowing people to enter one at a time and the stadium could accomodate only 15,000.",20190822.txt
325,"August 23, 2019",23,8,2019,India,IND,22.68009017,88.72467035,Religious,4,27,-1,"A wall collapse near a temple, triggered a collective motion, resulting in four fatalities and 21 injuries. Details of the accident remain unclear.",20190823.txt
326,"September 10, 2019",10,9,2019,Iraq,IRQ,32.616389,44.033611,Religious,31,102,4000,"Pilgrims gatherered for a traditional run of 2-3 km through the built environment. During the run, attended by hundreds of thousands, an accident happened, probably because a walkway collapsed or somebody trippled, leading others to fell over him. 31 people were killed and more than 100 were injured.",20190910.txt
327,"September 11, 2019",11,9,2019,Mozambique,MOZ,-15.11851761,39.26952806,Political,10,98,-1,"An accident at a campaign rally resulted in at least 10 deaths and 98 injuries. The chaos occurred when a large crowd tried to exit the stadium through a single gate after the rally, causing people to be trampled. Six women and four men were killed, and many others were hospitalized, with 14 in serious condition.",20190911.txt
328,"November 9, 2019",9,11,2019,Venezuela,VEN,10.49774303,-66.84108954,Entertainment,4,50,30000,"People climbing over entry barriers during a free concert organized in a park and attended by around 8,000 people caused the barriers to give way ultimately leading to a collective rush killing at least 3 and injuring more than 30. It is said that queue had formed from the early morning with the concert scheduled for 10am.",20191109.txt
329,"December 1, 2019",1,12,2019,Brazil,BRA,-23.61599722,-46.72593268,Entertainment,9,20,5000,"Armed criminals escaping from the police entered a street party as they continued firing. The 5,000 people who had gathered for the party fleed in search for a shelter, as police closed the street and threw pepper spray canisters. The rush for shelter resulted in 9 people getting killed and injuring around 20. ",20191201.txt
330,"January 7, 2020",7,1,2020,Iran,IRN,30.28747674,57.05243337,Political,56,213,1500000,"A tragedy occurred during the burial of a political leader as millions gathered for the final funeral event in a series of ceremonies. The streets were overcrowded, and eyewitnesses reported that road closures contributed to the chaos.",20200107.txt
331,"February 1, 2020",1,2,2020,Tanzania,TZA,-3.348490565,37.34356085,Religious,20,16,500,"At least 20 people were killed and 16 injured in an accident during a church service. The incident occurred when a large crowd surged forward to touch holy oil poured by a popular preacher, in hopes of being healed. Witnesses described the chaos as people trampled each other in a desperate rush for the anointing.",20200201.txt
332,"February 3, 2020",3,2,2020,Kenya,KEN,0.281283219,34.75123351,Educational,14,40,-1,"A crwod accident killed at least 14 pupils and injured nearly 40 others, some critically. The incident occurred as children were leaving school in the afternoon, with some reports suggesting that a narrow staircase collapsed during the rush.",20200203.txt
333,"February 17, 2020",17,2,2020,Niger,NER,13.31432747,12.6102863,Charity,23,10,4000,"An accident left at least 23 people dead as refugees rushed for food and clothing at a community center. The area is home to nearly 250,000 displaced individuals, many of whom fled terror attacks and other violence in neighboring countries.",20200217.txt
334,"May 21, 2020",21,5,2020,Sri Lanka,LKA,6.928215887,79.86106458,Charity,3,9,1000,"An accident occurred during a charity event aimed at distributing money to local residents on the eve of Ramadan. Around 300-400 people gathered for the donation, but chaos and mismanagement led to the deaths of three women and left nine others injured, four of whom were critically hurt.",20200521.txt
335,"August 22, 2020",22,8,2020,Peru,PER,-11.96557797,-77.06478412,Entertainment,13,6,120,"At least 13 people dead and three others were injured in a nightclub as partygoers tried to escape a police raid. The raid targeted the illegal gathering of over 120 people, violating COVID-19 restrictions, including a curfew and social distancing measures. As people fled, they were crushed on the stairs.",20200822.txt
336,"October 21, 2020",21,10,2020,Afghanistan,AFG,34.43906032,70.45845278,Application,15,13,30000,"A crowd accident killed at least 15 people, including 11 women. The crowd had gathered at a football stadium to collect visa application tokens. Despite heavy police presence, jostling broke out among those waiting. The consulate had resumed issuing visas after a seven-month pause due to COVID-19.",20201021.txt
337,"December 15, 2020",15,12,2020,Nigeria,NGA,4.86159568,7.034532636,Charity,8,-1,4000,"An accident occurred during a Christmas package distribution by a Non-Governmental Organization. At least two people were confirmed dead, and several others were injured as hundreds rushed to receive the packages. The chaos led to people being trampled in the rush.",20201215.txt
338,"January 3, 2021",3,1,2021,India,IND,27.06775831,88.47129474,Entertainment,2,4,500,A crowd surge occurred near the ticket counter during a musical event as attendees rushed in when the gates opened. As a result two women died and four were injured. Investionagion to focused on whether the event had the necessary permissions.,20210103.txt
339,"March 21, 2021",21,3,2021,Tanzania,TZA,-6.855612861,39.27266345,Political,45,37,30000,"An accident occurred in a stadium leading to the death of 45 people. Thousands had gathered to mourn the deceased president, and overcrowding combined with attempts to force entry into the stadium reportedly contributed to the deadly incident.",20210321.txt
340,"April 30, 2021",30,4,2021,Israel,ISR,32.98063928,35.44040745,Religious,45,150,100000,"An accident occurred during an annual pilgrimage when attendees slipped on a wet metal slope leading to a staircase, causing a deadly pile-up. Prior warnings about overcrowding risks had been issued, and COVID-19 precautions may have unintentionally created dangerous choke-points.",20210430.txt
341,"August 22, 2021",22,8,2021,Afghanistan,AFG,34.56583179,69.21260634,Other/Unknown,7,-1,4000,"Amidst the chaotic evacuation efforts following the change in the political leadership of the country, several tragic incidents occurred involving large crowds attempting to flee the country. In one of those accidents seven civilians lost their lives in the crowds near the airport including some children.",20210822.txt
